gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_IL10_KOnonTLS_median,FDR_BH
Rpl7,0.0015241724220052,0.038707628800508,0.1574747955862501,-0.1072061575485436,-0.0675973554582778,-0.0407932118556915,3.328600392920915,3.177875661256637,0.14148305699496028
Ptpn18,0.047128681432087,0.5208065412399778,1.0,-0.1596359681841342,-0.043525781316475,0.0835793988671069,1.57681526359297,1.5244468085608651,0.6699695797504569
Cox5b,0.0473446058585377,0.5713582599031516,1.0,-0.2212291715953937,-0.0683118262380363,0.280297373858101,1.36020498097977,1.2964694601133335,0.6804941073003827
Rpl31,0.004096213384139,0.0073033261887751,0.0690958164642375,-0.2036722728595464,-0.1438148945601061,-0.1006149358420316,2.481819300541315,2.2483356341717915,0.05302414904179183
Il18r1,0.1763147943584485,0.4629209642261225,0.969182212422568,-0.0199798983798588,0.1644519877743324,0.8887178174078387,1.2878244285665923,1.4471776184517875,0.6473232316705569
Stat4,0.0824958323410335,0.6238787012780821,1.0,-0.1801603172489447,0.032362134585794,0.1899028065773252,1.52944597201449,1.558512179258375,0.6874339120111923
Gls,0.007538614981782,0.1318811298530948,0.7575324115669454,0.0280593201860315,0.3175133405438363,1.4934949683397765,0.9948606454162524,1.2350533501449288,0.30303623542328467
Stk17b,0.0001111375724378,0.015860919266492,0.2702706993728666,-0.2888656830642624,-0.1612530219292938,-0.067805162275,2.06796938698922,1.848643930731184,0.08241458050236039
Sf3b1,3.175359212510915e-05,0.0054933714376438,0.1349368897356513,-0.2860559959710878,-0.1806927501999505,-0.1051304162811151,1.6434132071831,1.4501894213777475,0.04411343730229112
Hspe1,0.0824958323410335,0.6238787012780821,1.0,-0.1860915173426114,0.0214587901043531,0.429637958685589,1.1749094320146376,1.1945592039111377,0.6874339120111923
Bzw1,0.1214136242215987,0.5355561233584674,1.0,-0.0707246865777406,0.1756872897968928,2.165032094067737,0.9802263262478768,1.1029693299948686,0.6804941073003827
Clk1,0.0001905215527506,0.0201317774073192,0.428008652853853,-0.3846324794721169,-0.220344817298052,-0.0419981097480391,1.515629757944295,1.2996400277715612,0.09699856387162886
Sumo1,0.0813963916853684,0.5624660991678666,1.0,-0.0608136087154201,0.1239261556276323,1.19613262264612,1.0764365968955425,1.1787017892994165,0.6804941073003827
Cd28,0.0824958323410335,0.6238787012780821,1.0,-0.1693575932592892,-0.0213999517983306,0.1859327443633355,1.56433841325555,1.5386164377876477,0.6874339120111923
Ctla4,0.0021592442645074,0.015860919266492,0.0978804477256489,0.1759676577862185,0.3117388671907909,0.5542819297640735,1.628902162770445,2.026330405748184,0.08241458050236039
Icos,0.0978804477256489,0.6784313725490196,1.0,-0.0796900720972533,0.0010307934362635,0.115839219337513,2.258028915145794,2.259632304977785,0.7134298163709929
Eef1b2,0.004096213384139,0.0473446058585377,0.5208065412399778,-0.1188441489204403,-0.0766486701600377,-0.0198511558615413,2.8184387600210425,2.6713828672936875,0.15585491369580734
Rpl37a,0.0978804477256489,0.3837421608319441,0.6784313725490196,-0.075348175392166,-0.0500439562928689,-0.0306926505808449,4.069576045064035,3.931164675920048,0.576156785385072
Arpc2,0.0004763038818766,0.0690958164642375,0.910105580693816,0.0056221041132817,0.0831837306606915,0.1592965393332676,2.1643428876543,2.293071875939344,0.1934549550403013
Ncl,0.0690958164642375,0.4726680955783123,1.0,-0.0654049632379924,0.0428454950703876,0.1616271484094606,1.990294909050468,2.049222223668893,0.6473232316705569
Ptma,0.0824958323410335,0.6238787012780821,1.0,-0.041581804918304,-0.0033612281518336,0.0425099215625229,2.925041830714066,2.91625409837088,0.6874339120111923
Actr3,0.0573787409700722,0.5208065412399778,1.0,-0.2291288723473489,-0.0714445348902005,0.2188939632258533,1.284333004025425,1.2219904429763049,0.6699695797504569
